spkid,GM,diameter,extent,class
2025241,,5.998,,MBA
2025242,,5.414,,MBA
2025243,,5.592,,MBA
2025244,,2.371,,MBA
2025246,,5.026,,MBA
2025247,,4.313,,MBA
2025248,,7.722,,MBA
2025249,,7.736,,MBA
2025250,,2.84,,MBA
2025251,,2.992,,MBA
2025252,,4.705,,MBA
2025253,,4.968,,MBA
2025255,,6.621,,MBA
2025257,,3.302,,MBA
2025258,,5.937,,MBA
2025260,,10.302,,MBA
2025261,,8.037,,MBA
2025262,,4.306,,MBA
2025263,,16.896,,OMB
2025264,,4.722,,MBA
2025267,,8.095,,MBA
2025268,,6.871,,MBA
2025270,,17.1,,MBA
2025271,,6.351,,MBA
2025272,,3.637,,MBA
2025273,,5.266,,MBA
2025275,,3.457,,MBA
2025276,,5.131,,MBA
2025277,,3.385,,MBA
2025278,,3.756,,MBA
2025279,,3.048,,MBA
2025280,,6.364,,MBA
2025281,,12.823,,MBA
2025282,,7.677,,MBA
2025283,,5.038,,MBA
2025284,,9.584,,MBA
2025285,,7.568,,MBA
2025286,,7.877,,MBA
2025287,,7.202,,MBA
2025288,,4.352,,MBA
2025289,,6.195,,MBA
2025290,,3.604,,MBA
2025292,,9.711,,OMB
2025293,,5.093,,MBA
2025294,,7.323,,MBA
2025295,,14.552,,MBA
2025296,,9.397,,MBA
2025297,,6.848,,MBA
2025298,,4.976,,MBA
2025299,,3.446,,MBA
2025300,,4.014,,MBA
2025301,,5.771,,MBA
2025302,,12.118,,MBA
2025303,,15.126,,MBA
2025304,,4.415,,MBA
2025306,,21.138,,MBA
2025307,,6.803,,MBA
2025308,,6.574,,MBA
2025309,,3.642,,MBA
2025310,,15.306,,MBA
2025311,,6.808,,MBA
2025312,,18.194,,OMB
2025313,,5.924,,MBA
2025314,,8.362,,MBA
2025315,,3.429,,MBA
2025316,,7.917,,MBA
2025317,,4.594,,MBA
2025318,,2.149,,IMB
2025319,,7.544,,MBA
2025320,,2.358,,IMB
2025321,,6.428,,MBA
2025323,,2.493,,MBA
2025324,,8.269,,MBA
2025326,,3.829,,MBA
2025327,,4.362,,MBA
2025328,,3.481,,MBA
2025329,,3.916,,MBA
2025330,,3.21,,APO
2025331,,6.547,,MBA
2025332,,3.26,,IMB
2025333,,2.356,,MBA
2025334,,4.294,,MBA
2025335,,4.731,,MBA
2025338,,4.584,,MBA
2025340,,1.278,,IMB
2025341,,2.234,,MBA
2025342,,4.849,,MBA
2025343,,3.837,,MBA
2025345,,1.835,,MBA
2025346,,5.268,,MBA
2025349,,5.618,,MBA
2025350,,1.637,,MBA
2025352,,3.473,,MBA
2025355,,2.794,,MBA
2025357,,4.939,,MBA
2025360,,3.195,,MBA
2025361,,3.009,,MBA
2025362,,2.741,,MCA
2025365,,4.773,,MBA
2025367,,5.168,,MBA
2025372,,1.968,,MBA
2025375,,2.576,,MBA
2025376,,5.702,,MBA
2025379,,5.821,,MBA
2025381,,4.334,,MBA
2025385,,6.219,,MBA
2025386,,2.711,,MBA
2025387,,2.2,,MBA
2025388,,3.252,,MBA
2025389,,3.321,,MBA
2025395,,3.251,,MBA
2025398,,5.593,,MBA
2025399,,6.761,,MBA
2025400,,3.616,,MBA
2025401,,4.328,,MBA
2025402,,2.783,,MBA
2025408,,3.07,,MBA
2025409,,8.523,,MBA
2025410,,2.549,,MBA
2025411,,4.391,,MBA
2025413,,2.911,,MBA
2025416,,2.644,,MBA
2025417,,2.544,,MBA
2025419,,2.863,,MBA
2025425,,2.645,,MBA
2025427,,4.615,,MBA
2025428,,2.359,,MBA
2025430,,3.299,,MBA
2025436,,4.353,,MBA
2025438,,3.91,,MBA
2025439,,2.66,,MBA
2025440,,3.12,,MBA
2025441,,2.663,,MBA
2025442,,9.031,,MBA
2025443,,8.387,,OMB
2025444,,2.51,,MBA
2025445,,3.856,,MBA
2025446,,2.325,,MBA
2025447,,1.732,,MBA
2025451,,4.8,,MBA
2025453,,14.894,,MBA
2025456,,3.347,,MBA
2025457,,6.014,,MBA
2025459,,8.648,,MBA
2025460,,2.538,,MBA
2025461,,4.781,,MBA
2025466,,7.358,,MBA
2025467,,11.234,,MBA
2025469,,3.691,,MBA
2025470,,5.276,,MBA
2025471,,3.191,,MBA
2025475,,6.194,,MBA
2025480,,7.605,,MBA
2025482,,3.341,,MBA
2025484,,2.09,,MBA
2025485,,8.755,,MBA
2025486,,2.373,,MBA
2025487,,4.835,,MBA
2025489,,5.362,,MBA
2025490,,6.595,,MBA
2025492,,5.187,,MBA
2025493,,8.097,,MBA
2025494,,6.412,,MBA
2025495,,4.157,,MBA
2025496,,5.767,,MBA
2025498,,7.986,,MBA
2025500,,8.255,,MBA
2025501,,1.931,,MBA
2025502,,6.044,,MBA
2025503,,5.487,,MBA
2025504,,10.105,,MBA
2025506,,8.446,,MBA
2025507,,2.704,,MBA
2025508,,2.44,,MBA
2025509,,6.308,,MBA
2025512,,3.57,,MBA
2025513,,3.787,,MBA
2025514,,4.237,,MBA
2025517,,3.49,,MBA
2025518,,6.865,,MBA
2025521,,4.383,,MBA
2025523,,3.603,,MBA
2025524,,4.265,,MBA
2025525,,5.074,,MBA
2025527,,3.792,,MBA
2025528,,7.877,,MBA
2025529,,7.795,,MBA
2025532,,6.209,,MBA
2025533,,3.081,,MBA
2025534,,7.869,,MBA
2025535,,7.02,,MBA
2025536,,5.547,,MBA
2025537,,3.6,,MBA
2025538,,3.631,,MBA
2025539,,5.103,,MBA
2025541,,4.314,,MBA
2025542,,2.726,,MBA
2025544,,2.266,,MBA
2025545,,4.84,,MBA
2025547,,3.929,,MBA
2025548,,4.575,,MBA
2025549,,5.072,,MBA
2025550,,2.653,,MBA
2025555,,6.179,,MBA
2025557,,4.11,,MBA
2025558,,10.424,,MBA
2025561,,5.97,,MBA
2025562,,3.069,,MBA
2025563,,3.503,,MBA
2025564,,5.843,,MBA
2025565,,6.564,,MBA
2025567,,6.233,,MBA
2025568,,4.038,,MBA
2025569,,4.318,,MBA
2025571,,5.136,,MBA
2025572,,6.087,,MBA
2025573,,3.793,,MBA
2025574,,5.935,,MBA
2025575,,7.464,,MBA
2025578,,3.456,,MBA
2025579,,8.849,,MBA
2025580,,5.089,,MBA
2025581,,8.622,,MBA
2025583,,12.242,,MBA
2025584,,3.967,,MBA
2025586,,5.793,,MBA
2025587,,2.407,,MBA
2025588,,4.437,,MBA
2025589,,4.831,,MBA
2025590,,8.073,,MBA
2025592,,3.226,,MBA
2025594,,7.347,,MBA
2025596,,2.657,,MBA
2025597,,2.855,,MBA
2025598,,7.732,,MBA
2025599,,4.284,,MBA
2025603,,3.794,,MBA
2025604,,4.381,,MBA
2025605,,1.996,,MBA
2025609,,3.425,,MBA
2025610,,3.031,,MBA
2025611,,3.602,,MBA
2025613,,3.161,,MBA
2025614,,7.036,,MBA
2025615,,3.132,,MBA
2025618,,8.834,,MBA
2025620,,3.975,,MBA
2025621,,4.686,,MBA
2025623,,3.233,,MBA
2025624,,5.64,,MBA
2025627,,5.105,,MBA
2025628,,2.492,,MBA
2025629,,2.569,,MBA
2025630,,6.638,,MBA
2025631,,6.803,,MBA
2025632,,4.133,,MBA
2025633,,7.52,,MBA
2025634,,4.711,,MBA
2025636,,3.249,,MBA
2025638,,2.842,,MBA
2025639,,3.049,,MBA
2025640,,3.601,,MBA
2025641,,4.002,,MBA
2025642,,3.51,,MBA
2025643,,4.227,,MBA
2025644,,4.235,,MBA
2025646,,2.978,,MBA
2025647,,2.593,,MBA
2025648,,2.606,,MBA
2025649,,7.393,,MBA
2025650,,2.622,,MBA
2025653,,3.536,,MBA
2025654,,3.268,,MBA
2025656,,4.135,,MBA
2025657,,8.009,,MBA
2025658,,3.299,,MBA
2025660,,4.768,,MBA
2025661,,5.62,,MBA
2025662,,4.202,,MBA
2025664,,8.644,,MBA
2025666,,5.031,,MBA
2025667,,7.544,,OMB
2025669,,3.086,,MBA
2025670,,3.457,,MBA
2025671,,4.969,,MBA
2025672,,6.459,,MBA
2025673,,4.215,,MBA
2025675,,5.017,,MBA
2025679,,2.761,,MBA
2025683,,8.357,,MBA
2025687,,6.012,,MBA
2025688,,8.948,,MBA
2025689,,3.149,,MBA
2025690,,6.334,,MBA
2025691,,6.011,,MBA
2025693,,2.646,,MBA
2025694,,4.743,,MBA
2025695,,4.796,,MBA
2025696,,2.586,,MBA
2025699,,18.572,,MBA
2025700,,16.498,,MBA
2025701,,4.002,,MBA
2025702,,10.824,,MBA
2025703,,6.658,,MBA
2025704,,7.657,,MBA
2025705,,12.871,,MBA
2025707,,7.737,,MBA
2025708,,2.287,,MBA
2025709,,7.186,,MBA
2025710,,3.353,,MBA
2025711,,2.246,,MBA
2025713,,4.444,,MBA
2025714,,5.301,,MBA
2025715,,2.721,,MBA
2025716,,4.238,,MBA
2025717,,1.866,,MBA
2025726,,9.801,,MBA
2025727,,4.455,,MBA
2025728,,4.881,,MBA
2025730,,7.293,,MBA
2025731,,13.87,,MBA
2025733,,4.909,,MBA
2025734,,6.663,,MBA
2025735,,4.896,,MBA
2025736,,7.412,,MBA
2025737,,5.209,,MBA
2025738,,4.791,,MBA
2025739,,5.722,,MBA
2025740,,5.305,,MBA
2025741,,12.692,,MBA
2025745,,7.687,,MBA
2025746,,6.791,,MBA
2025747,,5.124,,MBA
2025748,,14.556,,MBA
2025749,,11.346,,MBA
2025750,,7.096,,MBA
2025752,,2.673,,MBA
2025754,,7.213,,MBA
2025755,,9.456,,MBA
2025758,,9.296,,MBA
2025761,,3.723,,MBA
2025762,,7.408,,MBA
2025765,,3.968,,MBA
2025767,,4.451,,MBA
2025769,,2.628,,MBA
2025770,,3.462,,MBA
2025771,,8.966,,OMB
2025772,,4.368,,MBA
2025773,,10.588,,MBA
2025774,,7.172,,MBA
2025775,,4.188,,MBA
2025777,,8.244,,MBA
2025781,,5.016,,MBA
2025782,,3.838,,MBA
2025783,,5.235,,MBA
2025784,,6.262,,MBA
2025785,,8.844,,MBA
2025786,,3.651,,MBA
2025787,,7.7,,MBA
2025788,,7.278,,MBA
2025789,,16.656,,MBA
2025790,,6.026,,MBA
2025791,,16.088,,MBA
2025793,,4.024,,MBA
2025794,,14.383,,MBA
2025795,,2.248,,MBA
2025796,,7.116,,MBA
2025798,,4.137,,MBA
2025799,,5.059,,MBA
2025800,,16.313,,OMB
2025801,,4.218,,MBA
2025802,,4.072,,MBA
2025803,,8.107,,MBA
2025804,,11.989,,MBA
2025806,,4.526,,MBA
2025807,,7.092,,MBA
2025808,,12.415,,MBA
2025811,,3.474,,MBA
2025812,,5.828,,MBA
2025813,,3.488,,MBA
2025815,,6.824,,MBA
2025816,,6.916,,MBA
2025817,,6.333,,MBA
2025818,,8.453,,MBA
2025819,,9.397,,MBA
2025820,,12.119,,MBA
2025821,,3.994,,MBA
2025822,,7.952,,MBA
2025823,,8.898,,MBA
2025824,,8.044,,MBA
2025825,,6.346,,MBA
2025826,,9.56,,MBA
2025827,,7.477,,MBA
2025828,,11.892,,MBA
2025829,,11.018,,MBA
2025830,,3.705,,MBA
2025831,,9.133,,MBA
2025833,,4.517,,MBA
2025834,,4.583,,MBA
2025835,,12.172,,MBA
2025837,,5.917,,MBA
2025838,,6.02,,MBA
2025839,,6.872,,MBA
2025840,,9.994,,MBA
2025841,,6.734,,MBA
2025842,,19.209,,MBA
2025843,,15.114,,MBA
2025844,,8.506,,MBA
2025845,,9.894,,MBA
2025846,,13.685,,MBA
2025848,,6.035,,MBA
2025849,,5.287,,MBA
2025850,,7.802,,MBA
2025851,,14.661,,OMB
2025852,,8.898,,OMB
2025853,,7.443,,MBA
2025854,,14.109,,MBA
2025855,,11.51,,MBA
2025857,,5.75,,MBA
2025858,,8.33,,MBA
2025859,,14.601,,MBA
2025860,,8.87,,MBA
2025861,,8.898,,MBA
2025862,,5.216,,MBA
2025863,,10.627,,MBA
2025864,,8.916,,MBA
2025865,,5.049,,MBA
2025866,,7.269,,MBA
2025867,,2.67,,MBA
2025869,,22.676,,OMB
2025874,,4.036,,MBA
2025875,,3.614,,MBA
2025876,,5.086,,MBA
2025877,,5.683,,MBA
2025879,,8.59,,MBA
2025880,,3.267,,MBA
2025881,,11.057,,MBA
2025882,,3.507,,MBA
2025884,,1.914,,IMB
2025885,,2.978,,MBA
2025886,,7.092,,MBA
2025887,,9.272,,MBA
2025888,,12.082,,MBA
2025889,,5.387,,MBA
2025891,,9.101,,MBA
2025893,,14.413,,MBA
2025894,,5.757,,MBA
2025897,,5.278,,MBA
2025899,,5.628,,MBA
2025900,,11.461,,MBA
2025902,,3.713,,MBA
2025904,,7.628,,MBA
2025905,,6.49,,MBA
2025906,,10.621,,MBA
2025907,,2.706,,MBA
2025908,,3.706,,MBA
2025909,,5.012,,MBA
2025913,,5.31,,MBA
2025915,,11.504,,MBA
2025916,,5.683,,AMO
2025917,,17.359,,MBA
2025918,,2.786,,MBA
2025920,,4.369,,MBA
2025922,,6.564,,MBA
2025923,,4.117,,MBA
2025924,,2.41,,MBA
2025925,,2.523,,MBA
2025926,,3.545,,MBA
2025927,,3.669,,MBA
2025928,,9.412,,MBA
2025932,,6.285,,MBA
2025934,,10.597,,MBA
2025935,,6.415,,MBA
2025940,,6.745,,MBA
2025942,,7.979,,MBA
2025947,,4.493,,MBA
2025948,,5.409,,MBA
2025950,,5.092,,MBA
2025952,,5.54,,MBA
2025953,,3.707,,MBA
2025954,,2.511,,MBA
2025955,,6.273,,MBA
2025957,,3.974,,MBA
2025960,,4.995,,MBA
2025961,,4.455,,MBA
2025962,,2.565,,MBA
2025964,,4.463,,MBA
2025966,,2.398,,MBA
2025967,,4.192,,MBA
2025969,,5.365,,MBA
2025970,,4.854,,MBA
2025971,,8.789,,MBA
2025974,,3.721,,MCA
2025975,,4.722,,MBA
2025976,,7.226,,MBA
2025977,,22.255,,MBA
2025978,,4.399,,MBA
2025982,,15.789,,OMB
2025983,,5.976,,MBA
2025984,,7.05,,MBA
2025985,,2.213,,MBA
2025987,,3.04,,MBA
2025988,,4.918,,MBA
2025989,,9.937,,MBA
2025990,,3.508,,MBA
2025991,,7.691,,MBA
2025997,,10.769,,MBA
2025998,,3.992,,MBA
2025999,,5.891,,MBA
2026000,,4.526,,MBA
2026001,,8.233,,MBA
2026002,,3.179,,MBA
2026007,,2.798,,MBA
2026008,,2.405,,MBA
2026012,,4.501,,MBA
2026014,,2.564,,MBA
2026015,,2.954,,MBA
2026017,,5.625,,MBA
2026019,,5.552,,MBA
2026020,,3.515,,MBA
2026021,,3.261,,MBA
2026023,,3.86,,MBA
2026024,,2.306,,MBA
2026025,,5.794,,MBA
2026026,,8.153,,MBA
2026028,,4.319,,MBA
2026029,,3.469,,MBA
2026030,,2.269,,MBA
2026032,,5.286,,MBA
2026034,,2.971,,MBA
2026036,,3.248,,MBA
2026040,,3.256,,MBA
2026041,,3.457,,MBA
2026044,,5.885,,MBA
2026045,,2.078,,MBA
2026047,,6.455,,MBA
2026049,,2.024,,MBA
2026053,,2.311,,MBA
2026054,,3.079,,MBA
2026055,,3.901,,MBA
2026056,,4.052,,MBA
2026058,,5.921,,MBA
2026059,,2.885,,MBA
2026060,,6.46,,MBA
2026061,,4.943,,MBA
2026063,,2.949,,MBA
2026065,,1.938,,MBA
2026067,,5.771,,MBA
2026071,,5.274,,MBA
2026072,,5.445,,MBA
2026073,,7.177,,MBA
2026075,,2.355,,MBA
2026076,,13.102,,MBA
2026079,,3.897,,MBA
2026080,,7.207,,MBA
2026081,,8.029,,MBA
2026082,,2.552,,MBA
2026085,,6.117,,MBA
2026086,,19.399,,OMB
2026087,,4.13,,MBA
2026088,,5.108,,MBA
2026092,,3.108,,MBA
2026093,,5.251,,MBA
2026094,,5.057,,MBA
2026095,,6.602,,MBA
2026096,,4.085,,MBA
2026097,,3.414,,MBA
2026098,,3.512,,MBA
2026099,,4.142,,MBA
2026100,,2.372,,MBA
2026102,,10.339,,MBA
2026103,,6.295,,MBA
2026106,,4.978,,MBA
2026108,,5.472,,MBA
2026109,,2.011,,MBA
2026110,,3.833,,MBA
2026111,,2.899,,MBA
2026112,,9.107,,OMB
2026114,,7.688,,MBA
2026115,,3.846,,MBA
2026116,,3.12,,MBA
2026117,,11.244,,OMB
2026118,,3.186,,MBA
2026121,,8.53,,MBA
2026122,,4.079,,MBA
2026123,,5.844,,MBA
2026124,,6.311,,MBA
2026125,,12.239,,MBA
2026126,,5.512,,MBA
2026127,,3.11,,MBA
2026128,,10.956,,MBA
2026133,,4.495,,MBA
2026135,,10.013,,MBA
2026138,,3.968,,MBA
2026139,,4.751,,MBA
2026140,,7.828,,MBA
2026147,,2.383,,MBA
2026149,,2.672,,MBA
2026150,,5.66,,MBA
2026152,,5.412,,MBA
2026153,,2.949,,MBA
2026154,,3.664,,MBA
2026155,,3.725,,MBA
2026159,,3.75,,MBA
2026160,,11.394,,MBA
2026161,,5.239,,MBA
2026162,,6.004,,MBA
2026163,,5.316,,MBA
2026164,,13.83,,MBA
2026167,,3.611,,MBA
2026168,,2.259,,MBA
2026169,,2.695,,MBA
2026170,,4.928,,MBA
2026171,,9.61,,MBA
2026174,,4.575,,MBA
2026175,,5.111,,MBA
2026176,,7.376,,MBA
2026178,,4.905,,MBA
2026179,,3.359,,MBA
2026180,,6.362,,MBA
2026182,,3.307,,MBA
2026184,,4.332,,MBA
2026185,,8.17,,MBA
2026186,,9.064,,MBA
2026187,,9.611,,MBA
2026190,,2.188,,MBA
2026197,,2.117,,MBA
2026200,,3.41,,MBA
2026206,,8.738,,MBA
2026208,,2.357,,MBA
2026210,,4.121,,MBA
2026211,,8.261,,MBA
2026213,,6.128,,MBA
2026214,,5.881,,MBA
2026215,,6.667,,MBA
2026217,,11.21,,MBA
2026218,,6.283,,MBA
2026219,,7.65,,MBA
2026220,,12.614,,OMB
2026221,,7.002,,MBA
2026222,,7.132,,MBA
2026223,,5.161,,MBA
2026224,,6.738,,MBA
2026225,,4.406,,MBA
2026226,,4.466,,MBA
2026228,,4.902,,MBA
2026229,,14.249,,MBA
2026231,,2.801,,MBA
2026232,,6.287,,MBA
2026236,,2.505,,MBA
2026238,,3.099,,MBA
2026239,,4.319,,MBA
2026240,,2.534,,MBA
2026241,,2.73,,MBA
2026242,,4.221,,MBA
2026243,,2.905,,MBA
2026246,,4.974,,MBA
2026249,,3.798,,MBA
2026250,,2.466,,MBA
2026251,,2.804,,MBA
2026252,,2.684,,MBA
2026257,,6.153,,MBA
2026260,,11.435,,MBA
2026261,,3.303,,MBA
2026270,,4.243,,MBA
2026271,,2.503,,MBA
2026272,,2.84,,MBA
2026273,,2.456,,MBA
2026274,,4.493,,MBA
2026275,,3.284,,MBA
2026276,,2.443,,MBA
2026279,,2.35,,MBA
2026282,,3.623,,MBA
2026283,,2.996,,MBA
2026285,,6.02,,MBA
2026287,,4.165,,MBA
2026288,,2.856,,MBA
2026289,,8.47,,MBA
2026292,,7.844,,MBA
2026293,,3.745,,MBA
2026294,,1.729,,MBA
2026296,,5.946,,MBA
2026297,,3.217,,MBA
2026298,,2.678,,MBA
2026299,,4.533,,MBA
2026302,,2.231,,MBA
2026303,,3.38,,MBA
2026304,,2.845,,MBA
2026305,,2.724,,MBA
2026306,,2.58,,MBA
2026311,,2.577,,MBA
2026312,,2.902,,MBA
2026314,,2.148,,MBA
2026315,,5.118,,MBA
2026316,,3.637,,MBA
2026317,,2.908,,MBA
2026318,,2.104,,MBA
2026319,,2.909,,MBA
2026320,,6.822,,MBA
2026321,,10.443,,MBA
2026322,,4.787,,MBA
2026323,,3.231,,MBA
2026324,,9.408,,MBA
2026325,,23.033,,MBA
2026326,,2.461,,MBA
2026327,,3.939,,MBA
2026328,,5.014,,MBA
2026329,,4.327,,MBA
2026331,,2.435,,MBA
2026332,,4.078,,MBA
2026335,,3.506,,MBA
2026336,,7.764,,MBA
2026339,,6.502,,MBA
2026340,,5.253,,MBA
2026341,,3.405,,MBA
2026342,,6.187,,MBA
2026343,,5.183,,MBA
2026344,,6.727,,MBA
2026345,,3.085,,MBA
2026346,,9.564,,MBA
2026347,,4.451,,MBA
2026348,,6.411,,MBA
2026349,,12.763,,OMB
2026350,,5.484,,MBA
2026351,,5.395,,MBA
2026352,,10.632,,MBA
2026353,,6.093,,MBA
2026354,,13.422,,MBA
2026355,,5.57,,MBA
2026356,,6.483,,MBA
2026357,,4.257,,MBA
2026358,,3.012,,MBA
2026359,,9.937,,MBA
2026361,,6.052,,MBA
2026362,,5.088,,MBA
2026364,,14.624,,MBA
2026366,,3.409,,MBA
2026367,,7.597,,MBA
2026368,,8.256,,MBA
2026369,,24.286,,MBA
2026370,,9.783,,MBA
2026371,,12.806,,MBA
2026372,,4.771,,MBA
2026373,,9.608,,MBA
2026376,,4.03,,MBA
2026377,,7.63,,MBA
2026378,,8.853,,MBA
2026382,,22.946,,MBA
2026383,,1.777,,IMB
2026385,,1.907,,MCA
2026387,,7.168,,MBA
2026390,,3.484,,MBA
2026391,,4.432,,MBA
2026393,,1.943,,MBA
2026394,,6.802,,MBA
2026396,,5.977,,MBA
2026397,,6.171,,MBA
2026398,,5.238,,MBA
2026400,,1.787,,MBA
2026403,,5.275,,MBA
2026405,,5.982,,MBA
2026406,,7.973,,MBA
2026407,,3.221,,MBA
2026408,,4.806,,MBA
2026409,,2.861,,MBA
2026410,,7.649,,MBA
2026412,,4.463,,MBA
2026417,,2.325,,MBA
2026418,,7.152,,MBA
2026419,,5.477,,MBA
2026421,,5.463,,MBA
2026422,,5.073,,MBA
2026427,,4.661,,MBA
2026428,,7.01,,MBA
2026430,,3.379,,MBA
2026432,,5.604,,MBA
2026433,,2.636,,MBA
2026434,,5.936,,MBA
2026435,,4.744,,MBA
2026436,,2.57,,MBA
2026437,,3.013,,MBA
2026438,,2.4,,MBA
2026439,,4.455,,MBA
2026440,,7.087,,MBA
2026441,,7.673,,MBA
2026442,,4.1,,MBA
2026443,,9.748,,MBA
2026444,,7.594,,MBA
2026445,,8.965,,MBA
2026450,,3.802,,MBA
2026451,,2.43,,MBA
2026452,,2.423,,MBA
2026453,,2.676,,MBA
2026455,,4.66,,MBA
2026456,,6.221,,MBA
2026457,,2.301,,MBA
2026459,,1.749,,MBA
2026460,,5.516,,MBA
2026461,,4.959,,MBA
2026462,,3.151,,MBA
2026464,,7.73,,MBA
2026465,,4.897,,MBA
2026466,,2.921,,MBA
2026467,,3.057,,MBA
2026469,,5.532,,MBA
2026471,,4.987,,MCA
2026472,,6.67,,MBA
2026473,,4.817,,MBA
2026474,,4.556,,MBA
2026476,,4.22,,MBA
2026477,,4.923,,MBA
2026478,,4.75,,MBA
2026479,,5.545,,MBA
2026480,,5.724,,MBA
2026481,,4.409,,MBA
2026482,,21.987,,OMB
2026483,,10.504,,MBA
2026484,,8.068,,MBA
2026485,,6.717,,MBA
2026487,,3.982,,MBA
2026488,,5.204,,MBA
2026489,,7.396,,MBA
2026490,,3.636,,MBA
2026491,,10.442,,MBA
2026494,,3.231,,MBA
2026496,,3.011,,MBA
2026497,,8.536,,MBA
2026499,,10.927,,MBA
2026504,,3.09,,MBA
2026506,,8.388,,MBA
2026507,,5.439,,MBA
2026509,,3.442,,MBA
2026511,,4.736,,MBA
2026512,,6.45,,MBA
2026514,,7.205,,MBA
2026515,,6.628,,MBA
2026516,,13.902,,MBA
2026517,,3.228,,MBA
2026518,,7.002,,MBA
2026519,,9.603,,MBA
2026520,,8.096,,MBA
2026521,,10.132,,MBA
2026522,,9.073,,MBA
2026523,,9.326,,MBA
2026525,,7.537,,MBA
2026526,,4.424,,MBA
2026528,,9.381,,MBA
2026529,,4.706,,MBA
2026530,,5.08,,MBA
2026531,,3.782,,MBA
2026532,,7.966,,MBA
2026533,,3.047,,MBA
2026534,,5.406,,MBA
2026535,,5.844,,MBA
2026536,,8.718,,MBA
2026538,,5.447,,MBA
2026539,,2.566,,MBA
2026540,,9.357,,MBA
2026541,,6.182,,MBA
2026542,,2.243,,MBA
2026544,,3.931,,MBA
2026545,,2.441,,MBA
2026546,,5.868,,MBA
2026548,,7.094,,MBA
2026549,,3.08,,MBA
2026550,,8.783,,MBA
2026552,,7.764,,MBA
2026553,,5.85,,OMB
2026555,,9.829,,MBA
2026557,,3.25,,MBA
2026558,,9.883,,MBA
2026562,,8.497,,MBA
2026563,,13.82,,OMB
2026564,,4.219,,MBA
2026565,,13.925,,OMB
2026566,,7.918,,MBA
2026568,,16.708,,MBA
2026569,,7.598,,MBA
2026570,,12.859,,MBA
2026571,,10.477,,MBA
2026572,,12.059,,MBA
2026573,,4.186,,MBA
2026574,,8.78,,MBA
2026575,,2.829,,MBA
2026576,,6.891,,MBA
2026577,,7.635,,MBA
2026578,,5.754,,MBA
2026579,,9.794,,MBA
2026580,,5.462,,MBA
2026581,,5.929,,MBA
2026582,,5.579,,MBA
2026583,,8.524,,MBA
2026584,,5.694,,MBA
2026585,,8.354,,OMB
2026586,,5.792,,MBA
2026589,,3.425,,MBA
2026590,,3.312,,MBA
2026592,,5.676,,MBA
2026593,,7.136,,MBA
2026594,,9.367,,MBA
2026595,,4.98,,MBA
2026596,,5.254,,MBA
2026597,,6.28,,MBA
2026598,,9.483,,MBA
2026602,,5.069,,MBA
2026603,,9.589,,MBA
2026604,,7,,MBA
2026606,,6.492,,MBA
2026608,,7.831,,MBA
2026609,,9.733,,OMB
2026610,,16.376,,MBA
2026611,,3.668,,MBA
2026612,,3.679,,MBA
2026613,,6.918,,MBA
2026614,,9.862,,MBA
2026615,,6.945,,OMB
2026616,,11.317,,MBA
2026617,,2.929,,MBA
2026618,,7.326,,MBA
2026619,,5.524,,MBA
2026621,,9.934,,MBA
2026622,,2.737,,MBA
2026623,,13.315,,MBA
2026624,,3.75,,MBA
2026625,,11.415,,MBA
2026626,,4.308,,MBA
2026627,,6.757,,MBA
2026628,,11.78,,MBA
2026629,,4.986,,MBA
2026630,,5.533,,MBA
2026631,,7.359,,MBA
2026632,,7.105,,MBA
2026633,,8.057,,OMB
2026634,,7.101,,MBA
2026635,,11.345,,MBA
2026636,,6.982,,MBA
2026637,,3.56,,MBA
2026638,,4.016,,MBA
2026639,,4.72,,MBA
2026640,,4.482,,MBA
2026641,,14.415,,MBA
2026642,,4.004,,MBA
2026644,,4.29,,MBA
2026645,,10.866,,OMB
2026646,,8.579,,OMB
2026647,,16.821,,MBA
2026648,,10.086,,MBA
2026649,,15.935,,MBA
2026650,,3.094,,MBA
2026651,,4.49,,MBA
2026652,,5.041,,MBA
2026653,,2.657,,MBA
2026654,,4.622,,MBA
2026655,,5.143,,MBA
2026657,,6.983,,MBA
2026660,,4.473,,MBA
2026662,,6.198,,MBA
2026667,,4.214,,MBA
2026669,,5.792,,MBA
2026670,,3.793,,MBA
2026671,,3.72,,MBA
2026673,,5.968,,MBA
2026675,,8.671,,MBA
2026676,,3.612,,MBA
2026678,,13.116,,MBA
2026679,,3.255,,MBA
2026680,,3.655,,MBA
2026684,,1.439,,MBA
2026690,,2.805,,MBA
2026691,,2.141,,MBA
2026692,,6.162,,MBA
2026697,,4.335,,MBA
2026698,,2.919,,MBA
2026700,,6.689,,MBA
2026701,,4.809,,MBA
2026702,,12.082,,OMB
2026703,,2.818,,MBA
2026706,,4.667,,MBA
2026709,,8.004,,MBA
2026711,,5.729,,MBA
2026713,,5.579,,MBA
2026718,,23.298,,MBA
2026719,,12.472,,MBA
2026722,,16.349,,MBA
2026724,,8.778,,MBA
2026725,,12.639,,MBA
2026727,,7.13,,MBA
2026728,,3.073,,MBA
2026729,,6.512,,MBA
2026730,,5.428,,MBA
2026732,,2.599,,MBA
2026733,,2.682,,MBA
2026734,,3.143,,MBA
2026735,,6.615,,MBA
2026737,,3.643,,MBA
2026738,,2.43,,MBA
2026740,,6.631,,MBA
2026742,,2.621,,MBA
2026743,,6.923,,MBA
